Instance,algo_sdpt3,algo_sedumi
BISECT/bm1.mat,0.8059342,0.3730644
COPOS/copo14.mat,0.0189677,0.0200422
COPOS/copo23.mat,0.0094737,0.0097669
COPOS/copo68.mat,0.0412589,0.0894354
FAP/fap09.mat,0.0212317,0.0492415
FAP/fap25.mat,2.7582981,1.1819839
FAP/fap36.mat,13.68979,5.6111119
FILTER/filter48_socp.mat,0.0112089,0.0149543
FILTER/filtinf1.mat,0.0067342,0.006023
FILTER/minphase.mat,0.0053628,0.0066288
HAMMING/hamming_10_2.mat,0.5702448,0.1782198
HAMMING/hamming_11_2.mat,2.4468968,0.6591083
HAMMING/hamming_7_5_6.mat,0.0063067,0.0046379
HAMMING/hamming_8_3_4.mat,0.0155053,0.0125602
HAMMING/hamming_9_5_6.mat,0.1488928,0.0744464
HAMMING/hamming_9_8.mat,0.1161425,0.0440299
HINF/hinf12.mat,0.0114232,0.1229078
HINF/hinf13.mat,0.0020259,0.0057724
TORUS/torusg3-15.mat,5.8951226,0.906007
TORUS/torusg3-8.mat,0.0938518,0.0235756
TORUS/toruspm3-15-50.mat,5.7281902,0.9093368
TORUS/toruspm3-8-50.mat,0.0951822,0.0249197
TRUSS/truss5.mat,0.0029773,0.0094658
TRUSS/truss8.mat,0.0017053,0.0044137
