Row,IsBetaEasy
arch0.dat-s,0
arch2.dat-s,1
arch4.dat-s,1
arch8.dat-s,1
control1.dat-s,0
control10.dat-s,0
control11.dat-s,0
control2.dat-s,0
control3.dat-s,0
control4.dat-s,0
control5.dat-s,0
control6.dat-s,0
control7.dat-s,0
control8.dat-s,0
control9.dat-s,0
equalG11.dat-s,0
equalG51.dat-s,0
gpp100.dat-s,0
gpp124-1.dat-s,0
gpp124-2.dat-s,0
gpp124-3.dat-s,0
gpp124-4.dat-s,0
gpp250-1.dat-s,0
gpp250-2.dat-s,0
gpp250-3.dat-s,0
gpp250-4.dat-s,0
gpp500-1.dat-s,0
gpp500-2.dat-s,0
gpp500-3.dat-s,0
gpp500-4.dat-s,0
hinf1.dat-s,0
hinf10.dat-s,0
hinf11.dat-s,0
hinf12.dat-s,0
hinf13.dat-s,0
hinf14.dat-s,0
hinf15.dat-s,0
hinf2.dat-s,0
hinf3.dat-s,0
hinf4.dat-s,0
hinf5.dat-s,0
hinf6.dat-s,0
hinf7.dat-s,0
hinf8.dat-s,0
hinf9.dat-s,0
maxG11.dat-s,0
maxG32.dat-s,0
maxG51.dat-s,0
maxG55.dat-s,0
maxG60.dat-s,0
mcp100.dat-s,1
mcp124-1.dat-s,1
mcp124-2.dat-s,0
mcp124-3.dat-s,0
mcp124-4.dat-s,0
mcp250-1.dat-s,0
mcp250-2.dat-s,0
mcp250-3.dat-s,0
mcp250-4.dat-s,0
mcp500-1.dat-s,0
mcp500-2.dat-s,0
mcp500-3.dat-s,0
mcp500-4.dat-s,0
qap10.dat-s,0
qap5.dat-s,0
qap6.dat-s,0
qap7.dat-s,0
qap8.dat-s,0
qap9.dat-s,0
qpG11.dat-s,0
qpG51.dat-s,0
ss30.dat-s,1
theta1.dat-s,0
theta2.dat-s,0
theta3.dat-s,0
theta4.dat-s,0
theta5.dat-s,0
theta6.dat-s,0
thetaG11.dat-s,0
thetaG51.dat-s,0
truss1.dat-s,0
truss2.dat-s,1
truss3.dat-s,0
truss4.dat-s,0
truss5.dat-s,0
truss6.dat-s,1
truss7.dat-s,0
truss8.dat-s,1
