Row,z_1,z_2
arch0.dat-s,1.65906836482408,0.288007096479955
arch2.dat-s,1.51138703922464,0.228695230134803
arch4.dat-s,1.51682576885887,0.218281955108088
arch8.dat-s,1.6845487296315,0.238043039143887
control1.dat-s,-0.459420625232555,3.04032952051691
control10.dat-s,1.1483764974259,1.17165569122603
control11.dat-s,1.23121707316092,1.07164222755341
control2.dat-s,-0.00514547492966277,2.60324979174881
control3.dat-s,0.235805651617859,2.31043867986517
control4.dat-s,0.426151763097705,2.0712862252245
control5.dat-s,0.586887940702184,1.86836675450711
control6.dat-s,0.726287784794828,1.69301289246021
control7.dat-s,0.849217137061539,1.53942143450364
control8.dat-s,0.959013534722215,1.40334699053586
control9.dat-s,1.05811792152064,1.28158141097316
equalG11.dat-s,-0.580508374777666,-2.46902801544223
equalG51.dat-s,-0.583486002256424,-2.71190593150809
gpp100.dat-s,-0.524520669104805,-0.788426134757043
gpp124-1.dat-s,-0.137280264007248,-0.78984550198454
gpp124-2.dat-s,-0.428040817791116,-0.934536771682056
gpp124-3.dat-s,-0.724783499089977,-1.08265440625816
gpp124-4.dat-s,-1.06843504536048,-1.25733887338323
gpp250-1.dat-s,0.107686552562671,-1.26304343975597
gpp250-2.dat-s,-0.135642217082544,-1.38491242760769
gpp250-3.dat-s,-0.471261735439494,-1.55388059467146
gpp250-4.dat-s,-0.787198914318004,-1.71523777214974
gpp500-1.dat-s,0.396129998018425,-1.68615724647175
gpp500-2.dat-s,0.123770590912714,-1.8235555076209
gpp500-3.dat-s,-0.174231047065087,-1.97513803109832
gpp500-4.dat-s,-0.569365005488826,-2.17854392390812
hinf1.dat-s,-0.279711116549117,3.43408924672256
hinf10.dat-s,-1.37958050077307,2.66301223876574
hinf11.dat-s,-1.30442589733553,2.53552496548681
hinf12.dat-s,-0.870674313165033,2.57158218649761
hinf13.dat-s,-0.137905089682887,2.78819405568817
hinf14.dat-s,0.0312944442240835,2.77175430137044
hinf15.dat-s,0.0335258899327517,2.69373488543562
hinf2.dat-s,-0.108429964476519,3.36802185344072
hinf3.dat-s,-0.721959870014298,3.11841322555066
hinf4.dat-s,-1.17833526685081,2.93274136900555
hinf5.dat-s,-1.30953429973092,2.87936432856773
hinf6.dat-s,-0.980129342647861,3.01337950633745
hinf7.dat-s,-1.39547118982835,2.84440174723511
hinf8.dat-s,-1.18769835938018,2.92893208659247
hinf9.dat-s,-1.35346718682473,2.86149066410939
maxG11.dat-s,0.648073103936081,-2.00618952093137
maxG32.dat-s,1.00872067456291,-2.56848537332365
maxG51.dat-s,-0.135666421074113,-2.55940526376078
maxG55.dat-s,0.504702137517891,-3.00545707702389
maxG60.dat-s,0.523131198196031,-3.03098136083769
mcp100.dat-s,-0.390754313692496,-1.00742932406515
mcp124-1.dat-s,-0.0185801288627573,-0.966250484125962
mcp124-2.dat-s,-0.309340682646625,-1.11094175382348
mcp124-3.dat-s,-0.606083363945486,-1.25905938839958
mcp124-4.dat-s,-0.949734910215989,-1.43374385552465
mcp250-1.dat-s,0.16927932520106,-1.35460558477453
mcp250-2.dat-s,-0.0740494444441544,-1.47647457262625
mcp250-3.dat-s,-0.409668962801104,-1.64544273969002
mcp250-4.dat-s,-0.725606141679615,-1.8067999171683
mcp500-1.dat-s,0.427590165833542,-1.7329495289967
mcp500-2.dat-s,0.155230758727832,-1.87034779014585
mcp500-3.dat-s,-0.14277087924997,-2.02193031362326
mcp500-4.dat-s,-0.537904837673709,-2.22533620643306
qap10.dat-s,-1.30203664821422,-2.50195480996109
qap5.dat-s,-2.23770861186321,-1.16952927507017
qap6.dat-s,-1.91422186789068,-1.55584293004764
qap7.dat-s,-1.71914260590157,-1.88317555882966
qap8.dat-s,-1.53722409770999,-2.12266326298499
qap9.dat-s,-1.41629423852344,-2.35080372470098
qpG11.dat-s,0.611299533584467,-2.2486798225969
qpG51.dat-s,0.289613210596695,-2.59352016508406
ss30.dat-s,1.81735064601196,0.437848905198107
theta1.dat-s,-1.46993773556688,-0.810080365068309
theta2.dat-s,-1.36154749053905,-1.42187180889697
theta3.dat-s,-1.28749844942982,-1.76325758736071
theta4.dat-s,-1.15023904888284,-1.95757929797855
theta5.dat-s,-1.06153451983421,-2.09550036279819
theta6.dat-s,-1.06731252035816,-2.15133231608236
thetaG11.dat-s,1.07774943880783,-2.25005101615142
thetaG51.dat-s,1.19083205337061,-2.44128941639938
truss1.dat-s,0.20435836827364,4.22008785307872
truss2.dat-s,2.39683019866636,2.83093762106576
truss3.dat-s,1.46603718564518,3.28757651642442
truss4.dat-s,0.853133066517727,3.82090493131097
truss5.dat-s,3.23374449172681,2.1710366987509
truss6.dat-s,3.24262274930889,2.31503851180751
truss7.dat-s,2.81801386794861,2.65678550968366
truss8.dat-s,3.75787515347565,1.84095420547723
