Row,Best_Algorithm
abalone,6
abalone_ori,9
appendicitis,9
asbestos,7
audiology_std,9
australian,9
auto1,0
auto2,0
auto4,0
auto5,10
auto6_1,0
auto6_2,0
auto6_3,0
auto7_1,0
auto7_2,0
auto7_3,0
auto8,5
automobile,5
bach,9
balance,9
banana,9
bankruptcy,9
blogger,10
blood,0
breast,0
breast_cancer,0
breast_cancer_wis_dia,9
breast_cancer_wis_dia_no_Nas,9
breast_cancer_wis_ori,9
breast_cancer_wis_pro2,0
breast_tissue,9
breast_tissue_merged,9
bupa,0
car,9
cardio10,9
cardio3,9
chess-krkp,9
chronic_kidney_disease,9
chronic_kidney_disease_full,9
cilinder,0
cilinder_no_NAs,0
climate,9
cnae9,9
congressional,9
congressional_no_Nas,9
connectionist_vowel,9
contraceptive,0
credit_no_Nas,9
diabetic,0
echocardio,9
echocardio_no_Nas,9
ecoli,9
fertility,9
firm,9
first,9
flare,9
forest,9
fourclass,9
gesture_va,9
grammatical_a1,9
grammatical_a2,9
grammatical_a3,9
grammatical_a4,9
grammatical_a5,9
grammatical_a6,9
grammatical_a7,9
grammatical_a8,9
grammatical_a9,9
grammatical_b2,9
grammatical_b3,9
grammatical_b4,9
grammatical_b5,9
grammatical_b6,9
grammatical_b7,9
grammatical_b8,9
grammatical_b9,9
haberman,0
hayes,0
heart_cleverland,7
heart_cleverland_no_Nas,7
heart_hungarian,9
heart_hungarian_no_Nas,5
heart_switzerland,0
heart_switzerland_no_Nas,0
heart_va,0
heart_va_no_Nas,0
hepatitis,9
hepatitis_no_Nas,9
hiv_746,0
hiv_impens,4
horse_colic_lesion,9
human,9
hv_no_noise,0
ilpd,0
ilpd_no_Nas,0
image,9
internet,9
ionosphere,9
iris,9
japanese,9
japanese_no_Nas,9
leaf,9
led,9
lenses,5
libras,9
liver,0
lsvt,9
lung,0
lung_no_NAs,0
lymphography,9
madelon,0
mammographics,9
mammographics_no_NAs,9
mechanical,6
mice,9
mice_no_Nas,9
molecular_promoter,9
molecular_splice,9
monks1,6
monks2,4
monks3,9
multiple,9
mushroom,9
onehund_mar,9
onehund_sha,9
onehund_tex,9
optical,9
ozone1_no_Nas,9
ozone8_no_Nas,9
page,9
pamap9,9
parkinson_speech,9
parkinsons,9
pen,9
phishing,9
phoneme,9
pima,0
pitt1_1,9
pitt1_2,9
pitt1_3,10
pitt1_4,0
pitt2_1,9
pitt2_2,9
pitt2_3,10
pitt2_4,0
planning,0
post,0
primary,0
qsar,9
ring,4
robot1,9
robot2,9
robot3,9
robot4,9
robot5,9
saheart,0
satimage,9
secom,9
seeds,9
seismic,9
soybean_large,9
soybean_large_no_Nas,9
soybean_small,9
spambase,9
spect_heart,9
spectf_heart,9
statlog_australian,9
statlog_german,0
statlog_heart,9
statlog_is,9
statlog_ls,9
statlog_vehicle,9
tae,0
tao,9
teaching,0
texture,9
thyroid_allbp,9
thyroid_allbp_no_Nas,9
thyroid_allhyper,9
thyroid_allhypo,9
thyroid_allrep,9
thyroid_allrep_no_Nas,9
thyroid_ann,9
thyroid_ann_no_Nas,9
thyroid_dis,9
thyroid_dis_no_Nas,9
thyroid_hypothyroid,9
thyroid_new_thyroid,9
thyroid_sick,9
thyroid_sick_no_Nas,9
tic,0
titanic,0
trains,5
turkiye,9
urban,9
user,9
vert2,9
vert3,9
wall2,9
wall24,9
wall4,9
wave,9
wave2,9
weight,9
wholesale,9
wilt,9
wine,9
wine_quality,9
winsconsin,9
wpbc,6
wpbc_no_Nas,6
zoo,9
