path,family,official_description,extension,size_bytes,is_instance,is_sdp,kind,reason,conversion_note
ANTENNA/nb.mat,ANTENNA,Antenna array design problems,.mat,2311176,true,false,sedumi-mat,SeDuMi instance without K.s cone,SeDuMi cone model; not necessarily SDP unless K.s is present.
ANTENNA/nb_L1.mat,ANTENNA,Antenna array design problems,.mat,2341376,true,false,sedumi-mat,SeDuMi instance without K.s cone,SeDuMi cone model; not necessarily SDP unless K.s is present.
ANTENNA/nb_L2.mat,ANTENNA,Antenna array design problems,.mat,4865624,true,false,sedumi-mat,SeDuMi instance without K.s cone,SeDuMi cone model; not necessarily SDP unless K.s is present.
ANTENNA/nb_L2_bessel.mat,ANTENNA,Antenna array design problems,.mat,2531104,true,false,sedumi-mat,SeDuMi instance without K.s cone,SeDuMi cone model; not necessarily SDP unless K.s is present.
BISECT/biomedP.dat,BISECT,Min bisection problems from circuit partitioning,.dat,12474940,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with genbisect.m/vec.m when available.
BISECT/bm1.dat,BISECT,Min bisection problems from circuit partitioning,.dat,83801,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with genbisect.m/vec.m when available.
BISECT/bm1.mat,BISECT,Min bisection problems from circuit partitioning,.mat,13230744,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Raw .dat graph files can be converted with genbisect.m/vec.m when available.
BISECT/genbisect.m,BISECT,Min bisection problems from circuit partitioning,.m,1624,false,,matlab-script,source/generator script,Raw .dat graph files can be converted with genbisect.m/vec.m when available.
BISECT/industry2.dat,BISECT,Min bisection problems from circuit partitioning,.dat,16004640,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with genbisect.m/vec.m when available.
BISECT/vec.m,BISECT,Min bisection problems from circuit partitioning,.m,1178,false,,matlab-script,source/generator script,Raw .dat graph files can be converted with genbisect.m/vec.m when available.
COPOS/copo14.mat,COPOS,Checking a sufficient condition for copositivity of a matrix,.mat,58776,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SeDuMi SDP instances.
COPOS/copo23.mat,COPOS,Checking a sufficient condition for copositivity of a matrix,.mat,260632,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SeDuMi SDP instances.
COPOS/copo68.mat,COPOS,Checking a sufficient condition for copositivity of a matrix,.mat,6781160,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SeDuMi SDP instances.
FAP/fap09.dat,FAP,Min k-uncut problems from frequency assignment,.dat,255326,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with genfap.m when available; fap36 has no .mat listed upstream.
FAP/fap09.mat,FAP,Min k-uncut problems from frequency assignment,.mat,1292816,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Raw .dat graph files can be converted with genfap.m when available; fap36 has no .mat listed upstream.
FAP/fap25.dat,FAP,Min k-uncut problems from frequency assignment,.dat,6100789,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with genfap.m when available; fap36 has no .mat listed upstream.
FAP/fap25.mat,FAP,Min k-uncut problems from frequency assignment,.mat,196991840,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Raw .dat graph files can be converted with genfap.m when available; fap36 has no .mat listed upstream.
FAP/fap36.dat,FAP,Min k-uncut problems from frequency assignment,.dat,22485043,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with genfap.m when available; fap36 has no .mat listed upstream.
FAP/genfap.m,FAP,Min k-uncut problems from frequency assignment,.m,2801,false,,matlab-script,source/generator script,Raw .dat graph files can be converted with genfap.m when available; fap36 has no .mat listed upstream.
FILTER/filter48_socp.mat,FILTER,Mixed SDP/SOCP problems from PAM filter design,.mat,580808,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Mixed cone SeDuMi models; SDP status depends on K.s.
FILTER/filtinf1.mat,FILTER,Mixed SDP/SOCP problems from PAM filter design,.mat,598056,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Mixed cone SeDuMi models; SDP status depends on K.s.
FILTER/minphase.mat,FILTER,Mixed SDP/SOCP problems from PAM filter design,.mat,29168,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Mixed cone SeDuMi models; SDP status depends on K.s.
HAMMING/generate_hamming.m,HAMMING,Theta function instances of Hamming graphs,.m,1464,false,,matlab-script,source/generator script,Distributed as SDP instances; generate_hamming.m can create more.
HAMMING/hamming_10_2.mat,HAMMING,Theta function instances of Hamming graphs,.mat,10445320,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SDP instances; generate_hamming.m can create more.
HAMMING/hamming_11_2.mat,HAMMING,Theta function instances of Hamming graphs,.mat,41841160,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SDP instances; generate_hamming.m can create more.
HAMMING/hamming_7_5_6.mat,HAMMING,Theta function instances of Hamming graphs,.mat,161416,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SDP instances; generate_hamming.m can create more.
HAMMING/hamming_8_3_4.mat,HAMMING,Theta function instances of Hamming graphs,.mat,624904,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SDP instances; generate_hamming.m can create more.
HAMMING/hamming_9_5_6.mat,HAMMING,Theta function instances of Hamming graphs,.mat,2517000,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SDP instances; generate_hamming.m can create more.
HAMMING/hamming_9_8.mat,HAMMING,Theta function instances of Hamming graphs,.mat,2619912,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SDP instances; generate_hamming.m can create more.
HINF/hinf12.mat,HINF,LMI problems,.mat,76704,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,LMI models are SDP instances.
HINF/hinf13.mat,HINF,LMI problems,.mat,151952,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,LMI models are SDP instances.
NQL/nql180.mat,NQL,Quadratic plastic-collapse problems: plain strain models,.mat,17288224,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
NQL/nql180new.mat,NQL,Quadratic plastic-collapse problems: plain strain models,.mat,13175000,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
NQL/nql30.mat,NQL,Quadratic plastic-collapse problems: plain strain models,.mat,478832,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
NQL/nql30new.mat,NQL,Quadratic plastic-collapse problems: plain strain models,.mat,364904,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
NQL/nql60.mat,NQL,Quadratic plastic-collapse problems: plain strain models,.mat,1918304,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
NQL/nql60new.mat,NQL,Quadratic plastic-collapse problems: plain strain models,.mat,1461720,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
QSSP/qssp180.mat,QSSP,Quadratic plastic-collapse problems: supported plate models,.mat,35979432,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
QSSP/qssp180new.mat,QSSP,Quadratic plastic-collapse problems: supported plate models,.mat,18024896,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
QSSP/qssp30.mat,QSSP,Quadratic plastic-collapse problems: supported plate models,.mat,984288,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
QSSP/qssp30new.mat,QSSP,Quadratic plastic-collapse problems: supported plate models,.mat,516464,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
QSSP/qssp60.mat,QSSP,Quadratic plastic-collapse problems: supported plate models,.mat,3972912,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
QSSP/qssp60new.mat,QSSP,Quadratic plastic-collapse problems: supported plate models,.mat,1991216,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; converting to SDP would be a reformulation/lifting.
SCHED/sched_100_100_orig.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,1458320,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
SCHED/sched_100_100_scaled.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,1992656,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
SCHED/sched_100_50_orig.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,770224,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
SCHED/sched_100_50_scaled.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,1044904,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
SCHED/sched_200_100_orig.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,3561040,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
SCHED/sched_200_100_scaled.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,4801464,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
SCHED/sched_50_50_orig.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,326648,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
SCHED/sched_50_50_scaled.mat,SCHED,Quadratic relaxations of scheduling problems,.mat,488680,true,false,sedumi-mat,SeDuMi instance without K.s cone,Quadratic cone SeDuMi models; scaled files are reformulations with c_mult.
TORUS/gentorus.m,TORUS,Max-cut problems from the Ising model of spin glasses,.m,1781,false,,matlab-script,source/generator script,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/torusg3-15.dat,TORUS,Max-cut problems from the Ising model of spin glasses,.dat,162802,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/torusg3-15.mat,TORUS,Max-cut problems from the Ising model of spin glasses,.mat,136708488,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/torusg3-8.dat,TORUS,Max-cut problems from the Ising model of spin glasses,.dat,21984,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/torusg3-8.mat,TORUS,Max-cut problems from the Ising model of spin glasses,.mat,3149536,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/toruspm3-15-50.dat,TORUS,Max-cut problems from the Ising model of spin glasses,.dat,119931,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/toruspm3-15-50.mat,TORUS,Max-cut problems from the Ising model of spin glasses,.mat,136708488,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/toruspm3-8-50.dat,TORUS,Max-cut problems from the Ising model of spin glasses,.dat,15489,true,false,raw-dimacs-data,numeric DIMACS data file; not a solver-ready SDP formulation,Raw .dat graph files can be converted with gentorus.m when available.
TORUS/toruspm3-8-50.mat,TORUS,Max-cut problems from the Ising model of spin glasses,.mat,3149536,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Raw .dat graph files can be converted with gentorus.m when available.
TRUSS/truss5.mat,TRUSS,Truss topology design problems,.mat,82544,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SeDuMi SDP instances.
TRUSS/truss8.mat,TRUSS,Truss topology design problems,.mat,255360,true,true,sedumi-mat,contains SeDuMi K.s semidefinite cone,Distributed as SeDuMi SDP instances.
